time,reward,position,bar_return,cost,strategy_ret,equity
2021-02-14 17:00:00+00:00,-0.0007,-1,-0.0014483722034968236,0.0004,-0.0007,0.0006411973472603735
2021-02-14 17:30:00+00:00,0.006469093358313015,-1,-0.006469093358313015,0.0,0.006469093358313015,0.0006453453127609034
2021-02-14 18:00:00+00:00,-0.003023362441867072,0,0.002323362441867072,0.0004,-0.003023362441867072,0.0006433941999802671
2021-02-14 18:30:00+00:00,0.0,0,0.00016087941943863563,0.0,0.0,0.0006433941999802671
2021-02-14 19:00:00+00:00,-0.0,0,-0.004585146611642636,0.0,-0.0,0.0006433941999802671
2021-02-14 19:30:00+00:00,0.0,0,0.003645769244325228,0.0,0.0,0.0006433941999802671
2021-02-14 20:00:00+00:00,0.0,0,0.001808253645926129,0.0,0.0,0.0006433941999802671
2021-02-14 20:30:00+00:00,-0.0007,-1,0.0030351707534668443,0.0004,-0.0007,0.0006429438240402809
2021-02-14 21:00:00+00:00,-0.0014606862935448177,0,0.0007606862935448178,0.0004,-0.0014606862935448177,0.0006420046848089859
2021-02-14 21:30:00+00:00,-0.0,0,-0.0029419981571156425,0.0,-0.0,0.0006420046848089859
2021-02-14 22:00:00+00:00,0.0,0,0.007973551625413149,0.0,0.0,0.0006420046848089859
2021-02-14 22:30:00+00:00,-0.0,0,-0.004043936482906993,0.0,-0.0,0.0006420046848089859
2021-02-14 23:00:00+00:00,-0.0,0,-0.0011282734722708515,0.0,-0.0,0.0006420046848089859
2021-02-14 23:30:00+00:00,-0.0,0,-0.007758748174952848,0.0,-0.0,0.0006420046848089859
2021-02-15 00:00:00+00:00,0.0,0,0.0015770581576477764,0.0,0.0,0.0006420046848089859
2021-02-15 00:30:00+00:00,-0.0007,-1,0.0022448123910684577,0.0004,-0.0007,0.0006415552815296196
2021-02-15 01:00:00+00:00,0.010880652420800625,-1,-0.010880652420800625,0.0,0.010880652420800625,0.0006485358215566724
2021-02-15 01:30:00+00:00,0.004594361043798992,-1,-0.004594361043798992,0.0,0.004594361043798992,0.0006515154292707406
2021-02-15 02:00:00+00:00,0.033706591429042816,0,-0.034406591429042815,0.0004,0.033706591429042816,0.0006734757936548869
2021-02-15 02:30:00+00:00,-0.0007,1,0.01109782605647637,0.0004,-0.0007,0.0006730043605993284
2021-02-15 03:00:00+00:00,0.007594612111357321,1,0.007594612111357321,0.0,0.007594612111357321,0.0006781155676673324
2021-02-15 03:30:00+00:00,-0.0037228875030938828,-1,-0.002322887503093883,0.0008,-0.0037228875030938828,0.0006755910196948103
2021-02-15 04:00:00+00:00,0.009985292962905627,-1,-0.009985292962905627,0.0,0.009985292962905627,0.000682336993949571
2021-02-15 04:30:00+00:00,-0.004646966256439715,-1,0.004646966256439715,0.0,-0.004646966256439715,0.000679166196963167
